"FileName="BV_TWEM_20220531_1514
"FileDate="20220531
"FileTime="15:14
"FileExpiration="20220601 15:14
"FileSequence=458"
"DataDelimiter= ,"

TRADE DATE EXECUTION TIME,PUBLICATION DATE,VENUE OF EXECUTION,INSTRUMENT ID TYPE,ISIN,PRICE,MONE,PERC,YIEL,BAPO,PRICE NOTATION,PRICE CURRENCY,QUANTITY,QUANTITY TYPE,QUANTITY IN MEASUREMENT UNIT,QUANTITY NOTATION MEASUREMENT UNIT,NOTIONAL AMOUNT,NOTIONAL CURRENCY,EMISSION ALLOWANCE TYPE,PUBLICATION ID,ORGINAL ID,TRANSACTION TO BE CLEARED,TRANSCATION COUNT,FLAGS,SUPPLEMENTARY DEFERRAL FLAGS,NO SUBMITTED TRANS (TPCC),SUBMITTED NOTIONAL (TPCC),SUBMITTED NOTIONAL 2 (TPCC),NOTIONAL CURRENCY 2 (TPCC),NO TERMINATED/REDUCED TRANS (TPCC),TERMINATED/REDUCED NOTIONAL (TPCC),TERMINATED/REDUCED NOTIONAL 2 (TPCC),REPLACEMENT NOTIONAL (TPCC),REPLACEMENT NOTIONAL 2 (TPCC),SUB ASSET CLASSES (TPCC),REPLACEMENT SUB ASSET CLASSES (TPCC),REPLACEMENT CURRENCIES (TPCC),NO REPLACEMENT TRANS (TPCC)
2022-05-31T15:14:08.347Z,2022-05-31 15:14:11,TWEM,ISIN,DE0001134922,109.677,,,,,PERC,EUR,65000,Units,0,,65000,EUR,,'3605455857640282471,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.566Z,2022-05-31 15:14:11,TWEM,ISIN,DE0001102515,84.812,,,,,PERC,EUR,100000,Units,0,,100000,EUR,,'3605455857640282472,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.399Z,2022-05-31 15:14:11,TWEM,ISIN,IT0005413171,90.334,,,,,PERC,EUR,415000,Units,0,,415000,EUR,,'3605455857640282473,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.384Z,2022-05-31 15:14:11,TWEM,ISIN,DE0001135044,128.101,,,,,PERC,EUR,198000,Units,0,,198000,EUR,,'3605455857640282474,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:11.354Z,2022-05-31 15:14:12,TWEM,ISIN,PTOTEAOE0021,106.507,,,,,PERC,EUR,133000,Units,0,,133000,EUR,,'3605455857640282475,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:10.348Z,2022-05-31 15:14:12,TWEM,ISIN,DE0001102531,91.339,,,,,PERC,EUR,167000,Units,0,,167000,EUR,,'3605455857640282476,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:10.393Z,2022-05-31 15:14:12,TWEM,ISIN,DE0001141828,97.863,,,,,PERC,EUR,242000,Units,0,,242000,EUR,,'3605455857640282477,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:11.072Z,2022-05-31 15:14:12,TWEM,ISIN,DE0001141828,97.863,,,,,PERC,EUR,80000,Units,0,,80000,EUR,,'3605455857640282478,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:11.083Z,2022-05-31 15:14:12,TWEM,ISIN,DE0001141828,97.863,,,,,PERC,EUR,100000,Units,0,,100000,EUR,,'3605455857640282479,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:10.441Z,2022-05-31 15:14:12,TWEM,ISIN,FR0000188799,142.906,,,,,PERC,EUR,85000,Units,0,,85000,EUR,,'3605455857640282480,,N,,,,,,,,,,,,,,,,,
